,movie_id,movie_name,img_url,count,rate,wr
3680,3972,클래식,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F116F1B10AC33AA99C147F7,4556,9,8.91364650024931
1014,1051,타이타닉,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F676b7dbf7a2cf721d01efc61708493080d2a9d8e,2299,9,8.831755807418508
3917,4238,살인의 추억,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F116F1B10AB025E93FAE575,1614,9,8.76376331661124
1320,1368,쇼생크 탈출,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F69088b7e31ce05679ebab1681fda7fc0e8030e33,1449,9,8.738286811539902
1222,1264,인생은 아름다워,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F8b5139e82e30ab43b6306713d7f26c01053ad875,1239,9,8.696650622466706
3390,3649,센과 치히로의 행방불명,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Fcfile19.uf.daum.net%2Fimage%2F224E1E3C54AE39C6299A4A,1093,9,8.658925742466824
1835,1911,터미네이터2 3D,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F872c2479ec9047d5a731340428eee4cd1570684842824,828,9,8.559492653086965
1133,1173,레옹 디 오리지널,//img1.daumcdn.net/thumb/C155x225/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F37664c0bb6492eecb9bfb911e7be44d4e473b3f9,804,9,8.54754669113678
2595,2725,죽은 시인의 사회,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F99153ec73b8414fdf3d598eac21005596fa96c45,776,9,8.532764085946384
2531,2657,포레스트 검프,//img1.daumcdn.net/thumb/C155x225/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fba17a2369a0c07eb7ddb03b120eaee03d68f21c5,753,9,8.51987868304083
